iter	RMSE
0	1.120925638
1	1.088574664
2	1.05827813
3	1.029839248
4	1.00326197
5	0.9783315817
6	0.9545746688
7	0.9325264884
8	0.9122061447
9	0.8933326786
10	0.8756101254
11	0.8574821728
12	0.8413759899
13	0.8267495508
14	0.8129461776
15	0.8002471576
16	0.7883317102
17	0.777430683
18	0.7672020521
19	0.7576634451
20	0.7476359783
21	0.7377579693
22	0.7286367459
23	0.7201938928
24	0.7128395565
25	0.7052605588
26	0.6994189948
27	0.6930248247
28	0.686658603
29	0.6812313053
30	0.6761563523
31	0.670861401
32	0.6665815102
33	0.6629949849
34	0.6582587467
35	0.6545030235
36	0.6505779819
37	0.6467489463
38	0.6442218585
39	0.6412357432
40	0.6387180471
41	0.6361801216
42	0.6340056843
43	0.6317731333
44	0.6296791759
45	0.6271938717
46	0.6256545361
47	0.6233341652
48	0.6215095455
49	0.6192136971
50	0.617241712
51	0.6156367576
52	0.6142423821
53	0.6129620619
54	0.6117813801
55	0.6097887787
56	0.6081284468
57	0.6066866076
58	0.604750299
59	0.6031721894
60	0.6023165884
61	0.6007506188
62	0.599829795
63	0.5987527472
64	0.597984786
65	0.5966507049
66	0.5958626592
67	0.5950218723
68	0.5937302491
69	0.5929953228
70	0.5922687676
71	0.5916788143
72	0.5905496776
73	0.5896394046
74	0.5891524933
75	0.5881911995
76	0.5872302036
77	0.5864192804
78	0.5857672538
79	0.585292297
80	0.5843376837
81	0.5839114835
82	0.5830878036
83	0.5826350945
84	0.5818361865
85	0.5813984316
86	0.5810209465
87	0.5805307739
88	0.5801295954
89	0.5798811721
90	0.5794378598
91	0.5788891211
92	0.578424773
93	0.5779461871
94	0.5772570732
95	0.5766086928
96	0.5763407664
97	0.5758053736
98	0.5754847475
99	0.5752145862
100	0.5748336231
101	0.5744870309
102	0.5740999558
103	0.5737686481
104	0.5734088893
105	0.5731142186
106	0.572526044
107	0.5721870275
108	0.5716137014
109	0.5712746732
110	0.5710467603
111	0.570721339
112	0.5702079517
113	0.5698601429
114	0.5694886592
115	0.5690378554
116	0.5687534617
117	0.5683514198
118	0.5680951485
119	0.5677534087
120	0.5674205615
121	0.5671619425
122	0.5669168065
123	0.5667009899
124	0.5664816153
125	0.566047124
126	0.5657157228
127	0.5654012896
128	0.5651122383
129	0.5647374709
130	0.5645047704
131	0.5643141586
132	0.5638470022
133	0.5634242624
134	0.563081786
135	0.5627925202
136	0.56262758
137	0.5621180588
138	0.5618220939
139	0.5615269232
140	0.5612755309
141	0.560979484
142	0.5606635583
143	0.5604329258
144	0.560250643
145	0.5600833144
146	0.5597288177
147	0.5595501622
148	0.5591706895
149	0.5588756914
150	0.5586865438
151	0.55838961
152	0.5581782087
153	0.5577822959
154	0.5575860643
155	0.5573799554
156	0.557057197
157	0.5567637514
158	0.556622271
159	0.5564142234
160	0.556253339
161	0.555958976
162	0.5556401421
163	0.5553811439
164	0.555154361
165	0.5549037984
166	0.5547134334
167	0.5545012834
168	0.5542931086
169	0.5540583025
170	0.553892868
171	0.5536351434
172	0.5535053513
173	0.5532982465
174	0.5529784079
175	0.5527283542
176	0.5525181654
177	0.5523648456
178	0.5522128476
179	0.5520310412
180	0.5518236978
181	0.5515594268
182	0.5513517767
183	0.5511250659
184	0.5509552453
185	0.5505749028
186	0.5504093515
187	0.5501848602
188	0.5499811084
189	0.5497620617
190	0.549507342
191	0.5492715852
192	0.5491570871
193	0.5489930878
194	0.5488353937
195	0.5486854847
196	0.5485212234
197	0.5483868672
198	0.5482995252
199	0.5481597109
200	0.5479408708
201	0.5476258317
202	0.5474481989
203	0.5471244698
204	0.5469421625
205	0.546686034
206	0.5465453566
207	0.5463566292
208	0.5461851609
209	0.5459760797
210	0.5456300461
211	0.5454625102
212	0.5453599877
213	0.5452011751
214	0.5449874487
215	0.544774316
