iter	Passed	Remaining
0	3	3401
1	5	2955
2	8	2756
3	10	2650
4	13	2648
5	15	2593
6	18	2588
7	20	2576
8	23	2566
9	25	2546
10	28	2555
11	30	2544
12	33	2530
13	35	2526
14	38	2516
15	40	2519
16	43	2518
17	46	2522
18	48	2516
19	51	2521
20	54	2527
21	56	2530
22	59	2520
23	62	2526
24	64	2522
25	67	2521
26	69	2518
27	72	2520
28	75	2515
29	77	2521
30	80	2516
31	83	2517
32	85	2513
33	88	2513
34	91	2515
35	94	2519
36	96	2511
37	99	2506
38	101	2501
39	103	2494
40	106	2495
41	109	2488
42	111	2483
43	114	2485
44	116	2481
45	119	2481
46	122	2480
47	124	2472
48	127	2468
49	129	2466
50	132	2462
51	134	2460
52	137	2459
53	140	2454
54	142	2453
55	145	2455
56	148	2450
57	150	2447
58	153	2445
59	155	2442
60	158	2440
61	161	2439
62	164	2449
63	168	2461
64	173	2492
65	177	2513
66	181	2533
67	185	2539
68	189	2556
69	193	2567
70	198	2590
71	200	2589
72	204	2591
73	206	2587
74	209	2584
75	212	2585
76	215	2580
77	217	2575
78	220	2570
79	223	2569
80	226	2564
81	228	2560
82	231	2557
83	234	2556
84	237	2551
85	239	2545
86	242	2541
87	244	2538
88	247	2535
89	250	2529
90	252	2524
91	255	2523
92	258	2520
93	261	2516
94	263	2511
95	266	2506
96	268	2502
97	271	2496
98	273	2490
99	276	2485
100	278	2481
101	281	2475
102	283	2473
103	286	2472
104	289	2467
105	292	2463
106	294	2459
107	297	2456
108	299	2451
109	302	2446
110	304	2440
111	307	2434
112	309	2432
113	312	2427
114	314	2424
115	317	2419
116	319	2414
117	322	2410
118	325	2406
119	327	2402
120	330	2399
121	332	2394
122	335	2390
123	337	2386
124	340	2383
125	343	2379
126	345	2376
127	348	2372
128	350	2368
129	353	2364
130	355	2359
131	358	2355
132	360	2351
133	363	2347
134	365	2345
135	368	2340
136	370	2336
137	373	2335
138	376	2331
139	379	2328
140	381	2324
141	384	2321
142	386	2316
143	389	2314
144	391	2310
145	394	2306
146	396	2302
147	399	2300
148	402	2297
149	404	2294
150	407	2290
151	409	2287
152	412	2283
153	415	2280
154	417	2277
155	420	2274
156	422	2271
157	425	2268
158	428	2265
159	430	2262
160	433	2261
161	436	2257
162	438	2253
163	441	2249
164	444	2247
165	446	2244
166	449	2240
167	451	2237
168	454	2233
169	456	2229
170	459	2227
171	462	2224
172	464	2220
173	467	2217
174	469	2214
175	472	2211
